product_id,product_name,about_product,actual_price,rule_based_clienta_category,rule_based_clientb_department,rule_based_clientb_price_tier,clienta_level_1,clienta_level_2,clienta_level_3
B07V82W5CN,"HP USB Wireless Spill Resistance Keyboard and Mouse Set with 10m Working Range 2.4G Wireless Technology / 3 Years Warranty (4SC12PA), Black","Stylish Ultra-Slim design Keyboard & Mouse, Sealed membrane for overall protection, Brush metal finish, Advanced controls|Smooth responsive cursor control with easy scrolling, Designed for professional or gaming use|Professional Optical sensor with direct DPI switch 800/1200/1600 dpi, High quality switches for over 2 million clicks supported|2.4G wireless technology with 10m working range and nano-receiver, Energy saving design standby function",2198,Needs_ML_Prediction,Electronics,Mid-Range,Needs_ML_Prediction,,
B075TJHWVC,Airtel Digital TV HD Set Top Box with 1 Month Basic Pack with Recording + Free Standard Installation,One Month Pack Subscription Included|Airtel HD Set Top Box brings a theatre-like experience to your home with HD Premium Quality Video (1080i resolution)|Dolby digital plus 5.1 surround sound|Record and Play Live TV so that you never miss your favourite shows.|Delivery and Standard Installation are included. Any other accessory which is not a part of the standard installation will be charged separately.,2299,Needs_ML_Prediction,Needs_ML_Prediction,Mid-Range,Needs_ML_Prediction,,
B00JBNZPFM,"Karcher WD3 EU Wet and Dry Vacuum Cleaner, 1000 Watts Powerful Suction, 17 L Capacity, Blower Function, Easy Filter Removal for Home and Garden Cleaning  (Yellow/Black)","Wet & Dry Vacuum Cleaner with patented filter removal technology, quick and easy removal of the filter by folding out the filter cartridge without any contact with dirt for wet and dry suction without changing the filter|This wet & dry vacuum cleaner offers the possibility of attaching different nozzles directly on the suction hose, easy vacuuming even in the tightest of spaces|Blower function: Where vacuuming is not possible, the practical blower function can be used|Powerful motor and extreme suction power: The wet and dry vacuum cleaner tackles even the most demanding outdoor cleaning tasks – whether it’s dry, wet, fine or coarse dirt. For perfect wet and dry vacuum cleaning results with convenience and flexibility|The capacity of the wet and dry vacuum cleaner is 17 litres|Warranty: 1 year from the date of invoice|Power: 1000 watts; Operating voltage: 240 volts",10999,Needs_ML_Prediction,Needs_ML_Prediction,Premium,Needs_ML_Prediction,,
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Connects your computer to a high-speed wireless network|Supports WPA/WPA2 wireless encryption to help prevent outside intrusion and protect your personal information from being exposed.|3 Year Brand Warranty|2.4Ghz frequency band (300mbps)|2 fixed internal Wi-Fi antenna|N300 MIMO Wi-Fi USB Adapter|This is a plug and play device with generic configuration|Compatible with all CCTV DVRs,1208,Needs_ML_Prediction,Needs_ML_Prediction,Value,Needs_ML_Prediction,,
B01MY839VW,"Orient Electric Fabrijoy DIFJ10BP 1000-Watt Dry Iron, Non-Stick (White and Blue)","QUICK HEATING: Powered by a 1000W silver-layered thermostat, the G-Shaped heating element heats up quickly and produces a high heat output.|EASE OF USE with 360-degree swivel cord. The durable and long swivel cord allows tangle-free reach and improved flexibility that helps iron out difficult-to-access creases.|ENHANCED SAFETY with advanced thermal fuse and PBT insulator.|NON-STICK COATED Dupont American Heritage Soleplate for powerful performance and smooth gliding.|LED INDICATOR WITH TEMPERATURE CONTROL feature for sensitive clothes.",1090,Needs_ML_Prediction,Needs_ML_Prediction,Value,Needs_ML_Prediction,,
B01F7B2JCI,Dynore Stainless Steel Set of 4 Measuring Cup and 4 Measuring Spoon,"Material, Grade: Stainless Steel, Steel Grade 202, Chromium Nickel Numbers 14/1, 100% Stainless Steel|ENGRAVED MEASUREMENT WILL NEVER RUB OFF: Our engraved metric measurements which is easy to read and will not rub off. To ensure accurate measuring in cooking/baking.|EASY TO USE: The measuring spoon set features a round design for stability and a long, sturdy, and thick handle that allows an easy reach to hard spaces like jars and deep containers. Each piece has easy to read engraved markings.|Dimensions: 13.5x4.5x5 cm|Capacity: 250 ml, 125 ml ,80 ml, 60 ml of cup",450,Needs_ML_Prediction,Needs_ML_Prediction,Value,Needs_ML_Prediction,,
B07YQ5SN4H,Cello Non-Stick Aluminium Sandwich Gas Toaster(Black),"Material - Pure Grade Aluminum, Colour - Black|This cookware is made of High guage & pure grade Aluminum used for higher efficiency during cooking|Even distribution of heat helps in making your sandwiches crispier|This versatile cookware is compatible with Gas Stove.|100% Flame Proof with Elegant black finish body|The handle is made from heat resistant material that enables ease and convenience while cooking and carrying the cookware|Hard anodised construction provides a stable heat distribution during cooking and is fast in heating up.",595,Needs_ML_Prediction,Needs_ML_Prediction,Value,Needs_ML_Prediction,,
B004IO5BMQ,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop","You can surf the Web with more comfort and ease—thanks to the contoured design with soft rubber grips. And your mouse is easy to slip into a bag when you want to take it with you.|You’ll enjoy smooth cursor control, precise tracking and easy text selection on the surfaces where you use your computer most.|The tiny Unifying receiver connects up to six Unifying-compatible devices with a powerful, reliable wireless connection (up to 25 meters).|You can go a full year without battery hassles. The On/Off switch helps conserve power, smart sleep mode extends battery life and an indicator light eliminates surprises.|You get a mouse you can count on with the high quality and reliability that have made Logitech the global leader for mice—plus a three-year limited hardware warranty.",995,Needs_ML_Prediction,Electronics,Value,Needs_ML_Prediction,,
B00935MGHS,"Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black",Content: Prestige sandwich toaster with fixed sandwich plate|Voltage: 230V; Wattage: 800W; Capacity 4 Slices|Weight: 1.06kg.,1795,Needs_ML_Prediction,Needs_ML_Prediction,Value,Needs_ML_Prediction,,
B0BD3T6Z1D,"Samsung Galaxy M32 Prime Edition (Light Blue, 4GB RAM, 64GB)","Segment Best 16.21 centimeters (6.4-inch) Super AMOLED - Infinity U-cut display, FHD+ resolution with 90Hz Refresh rate, 800 Nits High Brightness Mode, protected by Gorilla Glass 5|Versatile 64MP+8MP+2MP+2MP Quad camera setup-64MP (F 1.8) main camera + 8MP (F2.2) Ultra wide camera+ 2MP (F2.4) depth camera + 2MP (2.4) Macro Camera| 20MP (F2.2) front camera|Monster 6000 mAh Battery | Memory, Storage & SIM: 4GB RAM | 64GB internal memory expandable up to 1TB| SIM 1 + SIM 2 + MicroSD|Android v12.0, One UI 4.1 operating system with MediaTek | Helio G80 Octa Core Processor 2GHz,1.8GHz|6000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",13499,Needs_ML_Prediction,Needs_ML_Prediction,Premium,Needs_ML_Prediction,,
