product_name,actual_price,predicted_clienta_category,predicted_clientb_department,predicted_clientb_price_tier
"HP USB Wireless Spill Resistance Keyboard and Mouse Set with 10m Working Range 2.4G Wireless Technology / 3 Years Warranty (4SC12PA), Black",2198.0,Computing > Accessories > Mouse,Computing,Mid-Range
Airtel Digital TV HD Set Top Box with 1 Month Basic Pack with Recording + Free Standard Installation,2299.0,Home > Appliances > Heaters,Electronics,Mid-Range
"Karcher WD3 EU Wet and Dry Vacuum Cleaner, 1000 Watts Powerful Suction, 17 L Capacity, Blower Function, Easy Filter Removal for Home and Garden Cleaning  (Yellow/Black)",10999.0,Home > Cleaning > Vacuum cleaner,Home & Kitchen,Premium
D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),1208.0,Electronics > Accessories > Cables,Electronics,Value
"Orient Electric Fabrijoy DIFJ10BP 1000-Watt Dry Iron, Non-Stick (White and Blue)",1090.0,Home > Appliances > Heaters,Home & Kitchen,Value
Dynore Stainless Steel Set of 4 Measuring Cup and 4 Measuring Spoon,450.0,Home > Accessories > Heaters,Home & Kitchen,Value
Cello Non-Stick Aluminium Sandwich Gas Toaster(Black),595.0,Electronics > Accessories > Cables,Electronics,Value
"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",995.0,Electronics > Accessories > Mouse,Electronics,Value
"Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black",1795.0,Home > Accessories > Heaters,Home & Kitchen,Value
"Samsung Galaxy M32 Prime Edition (Light Blue, 4GB RAM, 64GB)",13499.0,Mobile > Phones > Mid-Tier,Electronics,Mid-Range
OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black),31999.0,Mobile > Phones > Premium Tier,Electronics,Premium
AmazonBasics Digital Optical Coax to Analog RCA Audio Converter Adapter with Fiber Cable,1600.0,Electronics > Accessories > Cables,Electronics,Value
"Crompton Insta Delight Fan Circulator Room Heater with 3 Heat Settings (Slate Grey & Black, 2000 Watt)",4200.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Candes 10 Litre Perfecto 5 Star Rated Automatic Instant Storage Electric Water Heater with Special Metal Body Anti Rust Coating With Installation Kit, 2KW Geyser (Ivory)",6299.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Bajaj New Shakti Neo Plus 15 Litre 4 Star Rated Storage Water Heater (Geyser) with Multiple Safety System, White",11500.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"3M Post-it Sticky Note Cube, 200 Sheets (4 Colors x 50 Sheets) | 3"" x 3"" Size | For notes, reminders, study, school and organizing",175.0,Home > Appliances > Heaters,Home & Kitchen,Value
Duracell Chhota Power AA Battery Set of 10 Pcs,220.0,Electronics > Accessories > Cables,Electronics,Value
"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",375.0,Electronics > Accessories > Cables,Electronics,Value
"Motorola a10 Dual Sim keypad Mobile with 1750 mAh Battery, Expandable Storage Upto 32GB, Wireless FM with Recording - Rose Gold",1630.0,Mobile > Phones > Value Tier,Electronics,Value
"OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)",38999.0,Mobile > Phones > Mid-Tier,Electronics,Mid-Range
"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",750.0,Electronics > Accessories > Cables,Electronics,Value
ESN 999 Supreme Quality 1500W Immersion Water Heater Rod (Black),510.0,Home > Appliances > Heaters,Home & Kitchen,Value
"Prestige Delight PRWO Electric Rice Cooker (1 L, White)",3045.0,Home > Kitchen > cooker,Home & Kitchen,Mid-Range
Maharaja Whiteline Lava Neo 1200-Watts Halogen Heater (White and Red),5000.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
Camlin Elegante Fountain Pen - Black/Blue/Red,225.0,Home > Accessories > Heaters,Electronics,Value
"Luxor 5 Subject Single Ruled Notebook - A4, 70 GSM, 300 pages",315.0,Home > Accessories > Heaters,Home & Kitchen,Value
SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,1800.0,Home > Appliances > Heaters,Electronics,Value
USHA RapidMix 500-Watt Copper Motor Mixer Grinder with 3 Jars and 5 Years Warranty(Sea Green/White),3390.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
"TTK Prestige Limited Orion Mixer Grinder 500 Watts, 3 Jars (1200ml, 1000ml, 500ml) (Red)",3895.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
"Acer EK220Q 21.5 Inch (54.61 cm) Full HD (1920x1080) VA Panel LCD Monitor with LED Back Light I 250 Nits I HDMI, VGA Ports I Eye Care Features Like Bluelight Shield, Flickerless & Comfy View (Black)",13750.0,Electronics > Accessories > Cables,Electronics,Mid-Range
"OnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage)",28999.0,Mobile > Phones > Mid-Tier,Electronics,Mid-Range
"FLiX (Beetel Flow USB to Micro USB PVC Data Sync & 12W(2.4A) Fast Charging Cable,Made in India,480Mbps Data Sync,Solid Cable,1 Meter Long cable for all Andriod & Micro USB Devices (Black)(XCD-FPM01)",199.0,Electronics > Assessories > Charging Cable,Electronics,Value
"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",475.0,Electronics > Accessories > Cables,Electronics,Value
"Room Heater Warmer Wall-Outlet 400 Watts Electric Handy Room Heater (Room Heaters Home for Bedroom, Reading Books, Work, bathrooms, Rooms, Offices, Home Offices,2022",1989.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"E-COSMOS 5V 1.2W Portable Flexible USB LED Light (Colors May Vary, Small) - Set of 2 Pieces",59.0,Electronics > Accessories > Cables,Electronics,Value
Eveready 1015 Carbon Zinc AA Battery - 10 Pieces,180.0,Home > Accessories > Heaters,Electronics,Value
Kingston DataTraveler Exodia DTX/32 GB Pen Drive USB 3.2 Gen 1 (Multicolor),450.0,Electronics > Accessories > Cables,Electronics,Value
"Pigeon Zest Mixer Grinder 3 Speed Control 750 Watt Powerful Copper Motor with 3 Stainless Steel Jars for Dry Grinding, Wet Grinding and Making Chutney and 3 Polycarbonate lids - Blue",4295.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
Prestige Iris 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar (White and Blue),6295.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
"Sujata Supermix, Mixer Grinder, 900 Watts, 3 Jars (White)",7200.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
"Philips AC1215/20 Air purifier, removes 99.97% airborne pollutants, 4-stage filtration with True HEPA filter (white)",11995.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Sure From Aquaguard Delight NXT RO+UV+UF+Taste Adjuster(MTDS),6L water purifier,8 stages purification,Suitable for borewell,tanker,municipal water(Black) from Eureka Forbes",18000.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
AmazonBasics 3 Feet High Speed HDMI Male to Female 2.0 Extension Cable,595.0,Electronics > Accessories > Cables,Electronics,Value
"Hindware Atlantic Compacto 3 Litre Instant water heater with Stainless Steel Tank, Robust Construction, Pressure Relief Valve And I-thermostat Feature (White And Grey)",4590.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Preethi MGA-502 0.4-Litre Grind and Store Jar (White), stainless steel, Set of 1",635.0,Home > Accessories > Heaters,Home & Kitchen,Value
"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.",650.0,Electronics > Accessories > Cables,Electronics,Value
"Logitech MK270r USB Wireless Keyboard and Mouse Set for Windows, 2.4 GHz Wireless, Spill-resistant Design, 8 Multimedia & Shortcut Keys, 2-Year Battery Life, PC/Laptop- Black",2295.0,Computing > Accessories > Keyboard,Electronics,Mid-Range
TABLE MAGIC Multipurpose Laptop Table Mat Finish Top Work at Home Study Table (TM Regular- Black) (Alloy Steel),2490.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Venus Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cooking Scale, 2 Year Warranty & Battery Included (Weighing Scale Without Bowl) Capacity 10 Kg, 1 Gm",2799.0,Home > Accessories > Heaters,Electronics,Mid-Range
TP-Link Tapo 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Motion Detection| Sound and Light Alarm| Indoor CCTV (Tapo C200) White,3299.0,Home > Appliances > Heaters,Electronics,Mid-Range
Pigeon By Stovekraft ABS Plastic Acer Plus Induction Cooktop 1800 Watts With Feather Touch Control - Black,3595.0,Home > Accessories > Heaters,Home & Kitchen,Mid-Range
"Bajaj Rex DLX 750 W 4 Jars Mixer Grinder, White and Blue",5999.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
"Canon E4570 All-in-One Wi-Fi Ink Efficient Colour Printer with FAX/ADF/Duplex Printing (Black)- Smart Speaker Compatible, Standard",9625.0,Electronics > Accessories > Cables,Electronics,Value
OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),21999.0,Mobile > Phones > Premium Tier,Electronics,Premium
"ZEBRONICS Zeb-Dash Plus 2.4GHz High Precision Wireless Mouse with up to 1600 DPI, Power Saving Mode, Nano Receiver and Plug & Play Usage - USB",449.0,Computing > Accessories > Mouse,Electronics,Value
Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),550.0,Home > Accessories > Mouse,Electronics,Value
"Duracell Rechargeable AA 2500mAh Batteries, 4 Pcs",1109.0,Home > Appliances > Heaters,Electronics,Value
Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),3193.0,Home > Accessories > Heaters,Home & Kitchen,Mid-Range
